title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
After We Collided,2020,2020-09-02,"['Romance', 'Drama']",105,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,Roger Kumble,"Anna Todd, Mario Celaya","Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse",14000000,47990414,"based on novel or book, love, teenage crush",Voltage Pictures,10.254,False
Tenet,2020,2020-08-22,"['Action', 'Thriller', 'Science Fiction']",150,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki",205000000,365304105,"assassin, espionage, spy, time travel, mumbai (bombay), india, arms dealer, terrorism, terrorist attack, nuclear weapons, terrorist plot, backwards, alternate timeline, oslo, norway, time paradox, kyiv (kiev), ukraine",Warner Bros. Pictures,10.3368,False
The Gentlemen,2020,2020-01-01,"['Action', 'Comedy', 'Crime']",113,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,"Guy Ritchie, Lauren Bond","Matthew McConaughey, Charlie Hunnam, Michelle Dockery",22000000,115171795,"london, england, robbery, businessman, dark comedy, betrayal, marijuana, business, jewish american, gunfight, brutality, american abroad, irishman, scheme, playful, gangsters, casual",Miramax,8.629,False
Palm Springs,2020,2020-07-10,"['Comedy', 'Romance', 'Science Fiction']",90,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",Max Barbakow,Andy Siara,"Andy Samberg, Cristin Milioti, J.K. Simmons",5000000,164000,"alcohol, cave, time travel, earthquake, swimming pool, drug use, palm springs, time loop, nemesis, wedding, maid of honor, carefree, older sister, groundhog day, stuck, absurd, sister's wedding, chance encounter",Limelight,10.2379,False
The Hunt,2020,2020-03-11,"['Action', 'Thriller', 'Horror']",90,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",Craig Zobel,"Nick Cuse, Damon Lindelof","Betty Gilpin, Hilary Swank, Ethan Suplee",14000000,10550350,"dark comedy, gore, hunting human beings, satire, murder, death game",Blumhouse Productions,9.3848,False
Mulan,2020,2020-09-04,"['Adventure', 'Fantasy', 'Action', 'Family']",115,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",Niki Caro,"Amanda Silver, Lauren Hynek, Elizabeth Martin, Rick Jaffa","Liu Yifei, Donnie Yen, Gong Li",200000000,69965374,"martial arts, hero, china, fake identity, honor, east asian lead, heroine, based on myths, legends or folklore, live action and animation, chinese girl, live action remake, admiring, defiant, vibrant",Walt Disney Pictures,8.1522,False
The Call of the Wild,2020,2020-02-19,"['Adventure', 'Family', 'Drama']",100,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",Chris Sanders,Michael Green,"Harrison Ford, Dan Stevens, Colin Woodell",109000000,111200000,"based on novel or book, affectation, gold rush, dog, sled dogs, yukon, canada, 19th century, pets, appreciative",3 Arts Entertainment,7.6524,False
The SpongeBob Movie: Sponge on the Run,2020,2020-08-14,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']",95,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",Tim Hill,Tim Hill,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass",60000000,4700000,"part live action, based on tv series",United Plankton Pictures,7.9749,False
The SpongeBob Movie: Sponge on the Run,2020,2020-08-14,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']",95,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",Tim Hill,Tim Hill,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass",60000000,4700000,"part live action, based on tv series",United Plankton Pictures,7.9749,False
Wonder Woman 1984,2020,2020-12-16,"['Action', 'Adventure', 'Fantasy']",151,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,Patty Jenkins,"David Callaham, Patty Jenkins, Geoff Johns","Gal Gadot, Chris Pine, Kristen Wiig",200000000,169601036,"superhero, based on comic, woman director, 1980s, action hero, dc extended universe (dceu)",Warner Bros. Pictures,7.7286,False
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,2020-02-05,"['Action', 'Crime']",109,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Cathy Yan,Christina Hodson,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead",75000000,205537933,"police, pickpocket, chase, joker, psychopath, superhero, nightclub, gang leader, based on comic, breaking the fourth wall, betrayal, vigilante, mobster, organized crime, shootout, female protagonist, orphan, criminal, police officer, police detective, spin off, hyena, held at gunpoint, henchman, exploding body, death of family, crime family, female police officer, nightclub owner, crime lord, woman director, hand to hand combat, vigilantism, suspended cop, murder of family, dc extended universe (dceu), dumped by boyfriend, loss of family, supernatural power, female antihero, vigilantes, betrayal of trust, vigilante justice, jailbreak, suspended from job, grand, hilarious, amused, audacious",Warner Bros. Pictures,7.6043,False
Greenland,2020,2020-07-29,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",120,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",Ric Roman Waugh,Chris Sparling,"Gerard Butler, Morena Baccarin, David Denman",34000000,52300000,"husband wife relationship, panic, kidnapping, looting, natural disaster, state of emergency, comet, end of the world, meteorite, disaster, apocalypse, destruction of planet, diabetic, army base, emergency, greenland, atlanta, georgia, amused, bold",STXfilms,7.9771,False
Greenland,2020,2020-07-29,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",120,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",Ric Roman Waugh,Chris Sparling,"Gerard Butler, Morena Baccarin, David Denman",34000000,52300000,"husband wife relationship, panic, kidnapping, looting, natural disaster, state of emergency, comet, end of the world, meteorite, disaster, apocalypse, destruction of planet, diabetic, army base, emergency, greenland, atlanta, georgia, amused, bold",STXfilms,7.9771,False
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,2020-02-05,"['Action', 'Crime']",109,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Cathy Yan,Christina Hodson,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead",75000000,205537933,"police, pickpocket, chase, joker, psychopath, superhero, nightclub, gang leader, based on comic, breaking the fourth wall, betrayal, vigilante, mobster, organized crime, shootout, female protagonist, orphan, criminal, police officer, police detective, spin off, hyena, held at gunpoint, henchman, exploding body, death of family, crime family, female police officer, nightclub owner, crime lord, woman director, hand to hand combat, vigilantism, suspended cop, murder of family, dc extended universe (dceu), dumped by boyfriend, loss of family, supernatural power, female antihero, vigilantes, betrayal of trust, vigilante justice, jailbreak, suspended from job, grand, hilarious, amused, audacious",Warner Bros. Pictures,7.6043,False
The Empty Man,2020,2020-10-22,"['Horror', 'Mystery', 'Thriller']",137,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",David Prior,David Prior,"James Badge Dale, Marin Ireland, Sasha Frolova",16000000,4796993,"experiment, detective, cave, missouri, investigation, bridge, cult, based on comic, ex-cop, hospital, based on graphic novel, alcoholic, bhutan, missing person, occult, cosmic horror, folk lore",BOOM! Studios,5.817,False
Peninsula,2020,2020-07-15,"['Horror', 'Action', 'Thriller', 'Adventure']",115,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,Yeon Sang-ho,"Yeon Sang-ho, Ryu Yong-jae","Gang Dong-won, Lee Jung-hyun, Lee Re",17000000,42698327,"dystopia, sequel, zombie, busan, south korea, south korea",Next Entertainment World,5.9166,False
Trolls World Tour,2020,2020-03-11,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music']",91,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",Walt Dohrn,"Glenn Berger, Jonathan Aibel, Maya Forbes, Elizabeth Tippet, Wallace Wolodarsky","Anna Kendrick, Justin Timberlake, Ron Funches",90000000,49276818,"dancing, friendship, concert, country music, guitar, cloud, saxophone, sequel, jail, based on toy, rock music, alien abduction, singing, king, desert, pop music, flute, mirage, electronic music, k-pop, spaceship, jukebox musical",DreamWorks Animation,6.8501,False
Love and Monsters,2020,2020-10-16,"['Comedy', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",109,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",Michael Matthews,"Matthew Robinson, Brian Duffield","Dylan O'Brien, Jessica Henwick, Michael Rooker",30000000,1122066,"monster, bunker, post-apocalyptic future, coming of age, mutant animal, psychotronic, giant crab, teenager",21 Laps Entertainment,7.3852,False
Onward,2020,2020-02-29,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",103,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",Dan Scanlon,"Dan Scanlon, Jason Headley, Keith Bunin","Tom Holland, Chris Pratt, Julia Louis-Dreyfus",200000000,141940042,"elves, magic, dead father, dead parent, fantasy world, teenage protagonist, brother brother relationship",Walt Disney Pictures,7.2906,False
Monster Hunter,2020,2020-12-03,"['Action', 'Fantasy', 'Adventure']",103,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",Paul W. S. Anderson,Paul W. S. Anderson,"Milla Jovovich, Tony Jaa, Ron Perlman",60000000,42145959,"giant monster, female soldier, another dimension, bow and arrow, based on video game, swordswoman, dimensional travel",Capcom,5.8325,False
Run,2020,2020-11-20,"['Thriller', 'Horror', 'Drama']",90,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",Aneesh Chaganty,"Sev Ohanian, Aneesh Chaganty","Sarah Paulson, Kiera Allen, Pat Healy",1700000,5184368,"small town, wheelchair user   , homeschooling, single mother, washington state, prescription medication, physical disability, cloistered life, college applications",Search Party,5.3469,False
The Empty Man,2020,2020-10-22,"['Horror', 'Mystery', 'Thriller']",137,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",David Prior,David Prior,"James Badge Dale, Marin Ireland, Sasha Frolova",16000000,4796993,"experiment, detective, cave, missouri, investigation, bridge, cult, based on comic, ex-cop, hospital, based on graphic novel, alcoholic, bhutan, missing person, occult, cosmic horror, folk lore",BOOM! Studios,5.817,False
Bloodshot,2020,2020-03-05,"['Action', 'Science Fiction', 'Adventure']",110,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",Dave Wilson,"Eric Heisserer, Jeff Wadlow","Vin Diesel, Eiza González, Sam Heughan",42000000,39861118,"nanotechnology, superhero, based on comic, memory, psychotronic, valiant comics",Cross Creek Pictures,6.5407,False
Run,2020,2020-11-20,"['Thriller', 'Horror', 'Drama']",90,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",Aneesh Chaganty,"Sev Ohanian, Aneesh Chaganty","Sarah Paulson, Kiera Allen, Pat Healy",1700000,5184368,"small town, wheelchair user   , homeschooling, single mother, washington state, prescription medication, physical disability, cloistered life, college applications",Search Party,5.3469,False
Emma.,2020,2020-02-13,"['Comedy', 'Romance']",125,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",Autumn de Wilde,Eleanor Catton,"Anya Taylor-Joy, Johnny Flynn, Josh O’Connor",10000000,25200000,"countryside, based on novel or book, matchmaking, 19th century, georgian or regency era, matchmaker, witty",Working Title Films,4.5887,False
Promising Young Woman,2020,2020-12-13,"['Thriller', 'Crime', 'Drama']",113,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie",10000000,20379604,"psychopath, coffee shop, ohio, sociopath, revenge, predator turns victim, childhood friends, rape and revenge, woman director, medical school, pediatrician, living with parents, barista, sexual predator, nice guy, prosocial psychopath, transgender, audacious, sardonic",LuckyChap Entertainment,4.3194,False
Wolfwalkers,2020,2020-10-26,"['Animation', 'Family', 'Adventure', 'Fantasy']",103,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.","Tomm Moore, Ross Stewart",Will Collins,"Honor Kneafsey, Eva Whittaker, Sean Bean",12000000,1310720,"friendship, wolf, magic, fairy tale, shapeshifting, wolf's lair, feral child, forest, woods, female protagonist, ireland, family, folklore, werewolf child, curious, calm, healer, reflective, wolves, irish folklore, hand drawn animation, father daughter relationship, mother daughter relationship, serene, fantasy, 1600s, enchanted forest, admiring, adoring, comforting, compassionate, enchant, excited, gentle",Cartoon Saloon,4.3067,False
Underwater,2020,2020-01-08,"['Horror', 'Science Fiction', 'Action', 'Adventure']",95,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",William Eubank,"Brian Duffield, Adam Cozad","Kristen Stewart, Vincent Cassel, Mamoudou Athie",50000000,40882928,"monster, self sacrifice, deep sea, animal attack, giant monster, earthquake, survival, nuclear explosion, disaster, cryptozoology, female protagonist, underwater, survival horror, animal killing, creature feature, mechanical engineering, researcher, trapped underwater , 2050s",Chernin Entertainment,4.1528,False
Another Round,2020,2020-09-24,"['Comedy', 'Drama']",117,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang",5150000,21700000,"friendship, experiment, copenhagen, denmark, alcohol, family relationships, teacher, teacher student relationship, intoxication, social pressure, pressure to perform, hilarious, melodramatic",Zentropa Entertainments,4.0794,False
Jiu Jitsu,2020,2020-11-20,"['Action', 'Science Fiction', 'Fantasy']",102,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",Dimitri Logothetis,"Dimitri Logothetis, Jim McGrath","Alain Moussi, Nicolas Cage, Tony Jaa",23000000,99924,"martial arts, based on comic, jiu-jitsu",Acme Rocket Fuel,4.1293,False
#Alive,2020,2020-06-24,"['Action', 'Horror']",98,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Cho Il,Matt Naylor,"Yoo Ah-in, Park Shin-hye, Lee Hyun-wook",6300000,13416285,"escape, alone, survival, drone, zombie, apartment building, zombie apocalypse, virus, live stream, south korea, apartment, frightened",Lotte Entertainment,4.1189,False
Dolittle,2020,2020-01-02,"['Family', 'Comedy', 'Fantasy', 'Adventure']",101,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",Stephen Gaghan,"Thomas Shepherd, Stephen Gaghan, Dan Gregor, Doug Mand","Robert Downey Jr., Harry Collett, Michael Sheen",175000000,251410631,"ship, island, based on novel or book, victorian england, doctor, based on children's book, animals, veterinary, talking to animals, voyage",Universal Pictures,4.0316,False
The Outpost,2020,2020-06-24,"['War', 'Drama', 'History', 'Action']",123,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",Rod Lurie,"Eric Johnson, Paul Tamasy","Scott Eastwood, Caleb Landry Jones, Orlando Bloom",18000000,2133452,"based on novel or book, afghanistan, based on true story, afghanistan war (2001-2021), soldier, aggressive, warfield, beating the odds, anxious, 2000s, harsh, straightforward, vibrant",Millennium Media,3.9714,False
The Father,2020,2020-12-23,['Drama'],97,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,"Florian Zeller, Christopher Hampton","Anthony Hopkins, Olivia Colman, Mark Gatiss",6000000,21029340,"london, england, loss of sense of reality, flat, dementia, mistaken identity, alzheimer's disease, based on play or musical, old man, memory loss, elderly man, father daughter relationship, fading memories, family caregiving",Les Films du Cru,4.0611,False
Invasion,2020,2020-02-27,"['Science Fiction', 'Drama', 'Action']",129,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?",Fyodor Bondarchuk,"Oleg Malovichko, Andrey Zolotarev","Alexander Petrov, Irina Starshenbaum, Oleg Menshikov",8819200,32104054,"extraterrestrial technology, survival, alien invasion, compassion, urban setting, speculative, family issues, playful, being human, human alien love, urban survival, inspirational, euphoric, sympathetic",Cinema Foundation of Russia,3.9233,False
Host,2020,2020-12-04,"['Horror', 'Mystery']",57,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.",Rob Savage,"Gemma Hurley, Rob Savage, Jed Shepherd","Haley Bishop, Jemma Moore, Emma Louise Webb",100000,443807,"quarantine, computer, isolation, evil spirit, internet, psychic, internet chat, macabre, found footage, séance, lockdown, covid-19, cautionary, zoom call",Shadowhouse Films,3.7869,False
Unhinged,2020,2020-07-16,"['Action', 'Thriller', 'Horror']",90,"Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",Derrick Borte,Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman",33000000,39238300,"psychopath, aggression, stalker, murder, arson, single mother, confrontation, divorced, threat, pickup truck, road rage, retribution, phone call, consequences, psychotic break, road thriller, murderous intentions, fired from a job, horrific crime, older sister younger brother, intense, unstoppable, terrorized, fight for life, edge-of-your-seat",Solstice Studios,3.6354,False
The Last Warrior: Root of Evil,2020,2020-12-24,"['Fantasy', 'Adventure', 'Comedy']",120,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",Dmitriy Dyachenko,"Dmitry Yan, Pavel Danilov, Vasily Kutsenko, Igor Tudvasev, Vitaly Shlyappo","Viktor Horinyak, Mila Syvatska, Ekaterina Vilkova",8400000,27658331,"children's story, the last hero","Yellow, Black & White",3.6416,False
Possessor,2020,2020-10-02,"['Horror', 'Thriller', 'Science Fiction']",103,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",Brandon Cronenberg,Brandon Cronenberg,"Andrea Riseborough, Christopher Abbott, Jennifer Jason Leigh",2500000,911000,"mind control, assassin, gun, dystopia, possession, hallucination, gore, murder, sanity, multiple stabbings, brutality, machine, tech noir, corporation, assassination attempt, mind possession, brain implant, body horror, mind parasite",Rhombus Media,3.6417,False
The Craft: Legacy,2020,2020-10-28,"['Horror', 'Drama', 'Fantasy']",94,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,Zoe Lister-Jones,Zoe Lister-Jones,"Cailee Spaeny, Lovie Simone, Gideon Adlon",18000000,2300000,"witch, magic, black magic, teen witch, woman director, karma, love spell",Blumhouse Productions,3.3477,False
The Trial of the Chicago 7,2020,2020-09-25,"['Drama', 'History']",130,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,Aaron Sorkin,Aaron Sorkin,"Eddie Redmayne, Sacha Baron Cohen, Mark Rylance",35000000,107423,"chicago, illinois, right and justice, political activism, black panther party, based on true story, black activist, counter-culture, historical fiction, activist, 1960s, courtroom drama",DreamWorks Pictures,3.2791,False
Shortcut,2020,2020-09-25,"['Horror', 'Adventure', 'Fantasy']",80,"A group of five classmates is trapped inside their school bus after an encounter with a mysterious creature on the road. Amid constant threats from the creature, the teen's anxiety increases while their survival chances decrease.",Alessio Liguori,Daniele Cosci,"Jack Kane, Zanda Emlano, Zak Sutcliffe",1400000,769563,"monster, creature, school bus, tunnel, road, teenager, drained of blood",Sternenberg Films,3.5389,False
Scoob!,2020,2020-07-08,"['Animation', 'Comedy', 'Family', 'Mystery']",93,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",Tony Cervone,"Chiranjiv Makwana, Matt Lieberman, Adam Sztykiel, Jack Donaldson, Derek Elliott","Will Forte, Frank Welker, Mark Wahlberg",90000000,28600000,"friendship, superhero, villain, heroism, talking dog, prequel, friends, based on cartoon, criminal investigation, boy and dog, caveman, fright, bitter",Warner Animation Group,3.2467,False
Fantasy Island,2020,2020-02-12,"['Adventure', 'Fantasy', 'Horror', 'Mystery']",109,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",Jeff Wadlow,"Christopher Roach, Jeff Wadlow, Jillian Jacobs","Michael Peña, Maggie Q, Lucy Hale",7000000,49500000,"cave, private investigator, remote island, reality vs fantasy, interracial adoption, fame-seeking, brother brother relationship, female bully, based on tv series, independent film, hidden desires, gay brother",Blumhouse Productions,2.9756,False
Brahms: The Boy II,2020,2020-02-20,"['Horror', 'Mystery', 'Thriller']",86,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",William Brent Bell,Stacey Menear,"Katie Holmes, Christopher Convery, Owain Yeoman",10000000,20311536,"country house, murder, mansion, home invasion, doll",STXfilms,2.7931,False
Freaky,2020,2020-11-12,"['Horror', 'Comedy', 'Thriller']",102,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",Christopher Landon,"Christopher Landon, Michael Kennedy","Vince Vaughn, Kathryn Newton, Celeste O'Connor",5000000,15100000,"high school, gore, murder, serial killer, chainsaw, body-swap, high school student, dead father, stabbed",Universal Pictures,2.7692,False
The King of Staten Island,2020,2020-07-22,"['Comedy', 'Drama']",137,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",Judd Apatow,"Judd Apatow, Pete Davidson, Dave Sirus","Pete Davidson, Marisa Tomei, Bill Burr",35000000,2200000,"tattoo, slacker, stoner, semi autobiographical, staten island, new york city, firefighter",Universal Pictures,2.6999,False
Gretel & Hansel,2020,2020-01-30,"['Fantasy', 'Horror', 'Mystery']",87,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",Osgood Perkins,Rob Hayes,"Sophia Lillis, Samuel Leakey, Alice Krige",5000000,22304357,"witch, fairy tale, woods, tale, witchcraft, dark fantasy, based on fairy tale, folk horror, re-imagining, brother sister relationship, supernatural power",Automatik Entertainment,2.7004,False
My Spy,2020,2020-01-09,"['Family', 'Action', 'Comedy']",99,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",Peter Segal,"Jon Hoeber, Erich Hoeber","Dave Bautista, Chloe Coleman, Parisa Fitz-Henley",18000000,10200000,"spy, amused, joyful",STXfilms,2.6775,False
Skylines,2020,2020-10-25,"['Science Fiction', 'Action', 'Thriller']",113,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",Liam O'Donnell,Liam O'Donnell,"Lindsey Morgan, Alexander Siddig, Rhona Mitra",70000000,170581,"mind control, spacecraft, martial arts, self sacrifice, space travel, promise, alien, revenge, betrayal, female protagonist, creature, battle, resistance fighter, virus, brother sister relationship, good versus evil",Mirabelle Pictures Productions,2.6164,False
